"IdVenta";"Metier";"Puerto.venta";"Trimestre";"Especie.comercial.Gen";"Especie.comercial";"Especie.comercial.ALFA3";"Especie.muestreada";"Especie.muestreada.ALFA3";"Peso";"TripSamp"
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"GAD";"Faneca comun";"BIB";1254;1
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Fanecas spp";"GAD";"Faneca comun";"BIB";541,75;1
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallo boscii";"LDB";"Gallo boscii";"LDB";194,42325334;1
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallo whiffiagonis";"MEG";"Gallo whiffiagonis";"MEG";2085,6367467;1
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Lubina";"Lubina";"BSS";"Lubina";"BSS";36,444336989;1
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Merluza europea";"Merluza europea";"HKE";"Merluza europea";"HKE";3619,573255296;1
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Peon - pez plata";"Peon - pez plata";"ARY";"Peon - pez plata";"ARY";1264;1
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Pez de San Pedro";"Pez de San Pedro";"JOD";"Pez de San Pedro";"JOD";74;1
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Soleidos";"Soleidos";"SOX";"Soldadito";"MKG";73,5;1
530589;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Triglidos";"Triglidos";"GUX";"Bejel";"GUU";71,865141263;1
530617;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";11279;1
530619;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";9557;1
530626;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Brotola de fango (Phycis blennoides)";"Brotola de fango (Phycis blennoides)";"GFB";"Brotola de fango (Phycis blennoides)";"GFB";1,32;1
530626;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Chicharro Negro";"Chicharro Negro";"HOM";"Chicharro Negro";"HOM";1050;1
530626;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Merluza europea";"Merluza europea";"HKE";"Merluza europea";"HKE";693;1
530626;"PTB_MPD_>=55_0_0";"Ondarroa";1;"Rapes Lophius";"Rape negro";"ANK";"Rape negro";"ANK";7,32;1
530644;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";12189;1
530645;"PS_SPF_0_0_0";"Ondarroa";1;"Sardina";"Sardina";"PIL";"Sardina";"PIL";14097;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"BIB";"Faneca comun";"BIB";175,45;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"GAD";"Faneca comun";"BIB";89,36742301;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Faneca comun";"GAD";"Faneca menor - Fodon - Capellan";"POD";268,682577;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Fanecas spp";"Fanecas spp";"GAD";"Faneca comun";"BIB";1058,75;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallo whiffiagonis";"MEG";"Gallo whiffiagonis";"MEG";291,5;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallos - ollarra";"LEZ";"Gallo boscii";"LDB";5,082230913;1
530666;"OTB_DEF_>=70_0_0";"Ondarroa";1;"Gallos - ollarra";"Gallos - ollarra";"LEZ";"Gallo whiffiagonis";"MEG";1927,61;1
